Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Is Attacker
15,586.676,0.939199,395836,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,3959265,0,0,0,15,0,0
15,476.54,1.20576,565725,8,0,0,0.0,0.0,0.002,0,13650,12740,0,1134,1225,0,0,910,3960707,0,0,0,15,0,0
15,582.884,0.78156,430499,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4305895,0,0,0,15,0,0
15,574.253,1.10402,579203,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,0
15,479.331,0.988748,525864,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5785497,0,0,0,15,0,0
15,428.162,1.17021,598481,15,0,0,0.0,0.0,0.002,0,27300,25480,0,2268,2450,0,0,1820,8379989,0,0,0,15,0,0
15,452.134,1.04438,651425,13,0,0,0.0,0.0,0.002,0,23400,21840,0,1944,2100,0,0,1560,7818175,0,0,0,15,0,0
15,283.042,0.872961,477269,18,0,0,0.0,0.0,0.002,0,33150,30940,0,2754,2975,0,0,2210,8115108,0,0,0,15,0,0
15,530.996,0.935917,421923,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,4642139,0,0,0,15,0,0
15,930.779,1.40839,603763,7,0,0,0.0,0.0,0.002,0,11700,10920,0,972,1050,0,0,780,3623120,0,0,0,15,0,0
15,348.318,1.01579,610693,18,0,0,0.0,0.0,0.002,0,33150,30940,0,2754,2975,0,0,2210,10383309,0,0,0,15,0,0
15,499.307,0.946889,430958,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,3879433,0,0,0,15,0,0
15,518.305,0.997352,519715,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5717850,0,0,0,15,0,0
15,742.033,0.824112,507091,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,4057451,0,0,0,15,0,0
15,624.082,1.04635,567459,7,0,0,0.0,0.0,0.002,0,11700,10920,0,972,1050,0,0,780,3405294,0,0,0,15,0,0
15,609.617,1.15562,441681,7,0,0,0.0,0.0,0.002,0,11700,10920,0,972,1050,0,0,780,2650625,0,0,0,15,0,0
15,835.058,1.29633,690843,8,0,0,0.0,0.0,0.002,0,13650,12740,0,1134,1225,0,0,910,4836528,0,0,0,15,0,0
15,590.98,1.14861,449659,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,3597993,0,0,0,15,0,0
15,581.01,1.42313,789442,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,7105784,0,0,0,15,0,0
15,664.752,0.937498,513011,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,4617908,0,0,0,15,0,0
15,554.431,0.68474,412685,8,0,0,0.0,0.0,0.002,0,13780,12740,0,1296,1225,0,0,1040,2889425,0,0,0,15,0,0
15,469.214,1.04823,598137,13,0,0,0.0,0.0,0.002,0,23400,21840,0,1944,2100,0,0,1560,7178725,0,0,0,15,0,0
15,461.356,1.09567,389327,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5062423,0,0,0,15,0,0
15,471.961,1.27738,584773,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6433491,0,0,0,15,0,0
15,582.733,0.983031,580323,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5804125,0,0,0,15,0,0
15,432.234,1.11271,445143,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5788024,0,0,0,15,0,0
15,370.115,1.08925,610082,16,0,0,0.0,0.0,0.002,0,29250,27300,0,2430,2625,0,0,1950,9152583,0,0,0,15,0,0
15,457.985,1.04671,569380,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,7403110,0,0,0,15,0,0
15,484.815,0.801694,360376,13,0,1,886.266,269471.0,0.002,0,21450,21970,2430,1782,1925,2625,1950,1430,4056036,4043415,0,0,15,0,0
15,572.437,1.16893,646172,11,0,1,4942.9,716729.0,0.002,0,17550,18330,2430,1458,1575,2625,1950,1170,5745802,10752285,0,0,15,0,0
15,504.938,1.13042,457856,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5037403,0,0,0,15,0,0
15,606.618,0.699688,389539,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,3506657,0,0,0,15,0,0
15,459.785,0.879785,411055,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5344888,0,0,0,15,0,0
15,533.935,1.1098,606000,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6666992,0,0,0,15,0,0
15,483.546,0.856668,407391,13,0,0,0.0,0.0,0.002,0,23400,21840,0,1944,2100,0,0,1560,4889770,0,0,0,15,0,0
15,590.859,0.935279,509506,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5095956,0,0,0,15,0,0
15,531.996,0.890849,509570,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5606258,0,0,0,15,0,0
15,580.148,1.30296,594149,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5942387,0,0,0,15,0,0
15,518.319,0.923189,584460,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5260954,0,0,0,15,0,0
15,527.793,1.33597,635086,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6986936,0,0,0,15,0,0
15,615.551,1.13226,516198,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,4646589,0,0,0,15,0,0
15,1579.07,0.732247,673913,4,0,0,0.0,0.0,0.002,0,5850,5460,0,486,525,0,0,390,2022010,0,0,0,15,0,0
15,596.026,0.902309,455996,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4560855,0,0,0,15,0,0
15,415.796,1.07234,467254,15,0,0,0.0,0.0,0.002,0,27300,25480,0,2268,2450,0,0,1820,6542819,0,0,0,15,0,0
15,452.992,1.00163,565624,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,7354279,0,0,0,15,0,0
15,722.679,1.15374,662333,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,5299383,0,0,0,15,0,0
15,639.997,1.02774,600173,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5402365,0,0,0,15,0,0
15,543.013,1.08901,457373,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5032098,0,0,0,15,0,0
15,454.59,1.06725,471388,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,6129213,0,0,0,15,0,0
15,423.234,1.02081,392321,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5101341,0,0,0,15,0,0
15,495.45,0.951136,464850,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5114340,0,0,0,15,0,0
15,456.034,1.27944,628259,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,8168534,0,0,0,15,0,0
15,449.202,0.889039,668752,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,8694949,0,0,0,15,0,0
15,840.746,0.926016,354691,7,0,0,0.0,0.0,0.002,0,11700,10920,0,972,1050,0,0,780,2128688,0,0,0,15,0,0
15,490.784,1.33639,625827,13,0,0,0.0,0.0,0.002,0,23400,21840,0,1944,2100,0,0,1560,7510999,0,0,0,15,0,0
15,441.392,1.03575,618543,8,0,0,0.0,0.0,0.002,0,13650,12740,0,1134,1225,0,0,910,4330429,0,0,0,15,0,0
15,372.164,1.11191,537918,17,0,0,0.0,0.0,0.002,0,31200,29120,0,2592,2800,0,0,2080,8608133,0,0,0,15,0,0
15,540.055,1.07356,430959,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4310491,0,0,0,15,0,0
15,429.037,1.1055,485281,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5339078,0,0,0,15,0,0
15,747.297,1.27327,772806,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,6183166,0,0,0,15,0,0
15,586.318,0.912572,575478,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5180112,0,0,0,15,0,0
15,750.49,1.12106,463760,7,0,0,0.0,0.0,0.002,0,11700,10920,0,972,1050,0,0,780,2783100,0,0,0,15,0,0
15,819.796,0.974197,558228,8,0,0,0.0,0.0,0.002,0,13650,12740,0,1134,1225,0,0,910,3908224,0,0,0,15,0,0
15,660.399,1.03884,724237,8,0,0,0.0,0.0,0.002,0,13650,12740,0,1134,1225,0,0,910,5070287,0,0,0,15,0,0
15,586.024,1.18106,605493,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5450244,0,0,0,15,0,0
15,559.694,0.765713,522543,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5226327,0,0,0,15,0,0
15,583.032,1.10212,657387,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5917290,0,0,0,15,0,0
15,518.956,1.29603,658403,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5926441,0,0,0,15,0,0
15,368.013,0.726405,385235,17,0,0,0.0,0.0,0.002,0,31200,29120,0,2592,2800,0,0,2080,6165199,0,0,0,15,0,0
15,517.708,1.17507,475198,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4752878,0,0,0,15,0,0
15,580.697,1.0498,591857,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5327520,0,0,0,15,0,0
15,515.112,0.842028,551064,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6062689,0,0,0,15,0,0
15,1267.74,1.37839,585971,5,0,0,0.0,0.0,0.002,0,7800,7280,0,648,700,0,0,520,2344243,0,0,0,15,0,0
15,441.202,1.266,554224,13,0,0,0.0,0.0,0.002,0,23400,21840,0,1944,2100,0,0,1560,6651768,0,0,0,15,0,0
15,991.716,0.869062,628726,7,0,0,0.0,0.0,0.002,0,11700,10920,0,972,1050,0,0,780,3772895,0,0,0,15,0,0
15,621.307,0.833978,520905,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,4167959,0,0,0,15,0,0
15,521.512,0.967572,409274,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,3274913,0,0,0,15,0,0
15,533.188,0.978213,360644,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,3968077,0,0,0,15,0,0
15,775.762,1.45612,714262,8,0,0,0.0,0.0,0.002,0,13650,12740,0,1134,1225,0,0,910,5000467,0,0,0,15,0,0
15,516.647,1.24157,760126,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,8362374,0,0,0,15,0,0
15,532.477,1.10315,536837,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5906192,0,0,0,15,0,0
15,690.382,0.932971,454083,7,0,0,0.0,0.0,0.002,0,11700,10920,0,972,1050,0,0,780,2725037,0,0,0,15,0,0
15,586.101,1.15948,436013,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4361026,0,0,0,15,0,0
15,746.054,0.799338,414006,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,3312770,0,0,0,15,0,0
15,725.058,1.12447,643812,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,5151217,0,0,0,15,0,0
15,615.694,1.24681,732029,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6589070,0,0,0,15,0,0
15,693.834,0.895589,366198,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,2930300,0,0,0,15,0,0
15,1115.98,1.00914,329200,6,0,0,0.0,0.0,0.002,0,9750,9100,0,810,875,0,0,650,1646448,0,0,0,15,0,0
15,1153.66,0.94882,495276,6,0,0,0.0,0.0,0.002,0,9750,9100,0,810,875,0,0,650,2476828,0,0,0,15,0,0
15,567.346,1.12467,468419,6,0,0,0.0,0.0,0.002,0,9750,9100,0,810,875,0,0,650,2342546,0,0,0,15,0,0
15,735.459,0.977453,482218,9,0,0,0.0,0.0,0.002,0,15600,14560,0,1296,1400,0,0,1040,3858468,0,0,0,15,0,0
15,625.677,0.887513,738969,10,0,0,0.0,0.0,0.002,0,17550,16380,0,1458,1575,0,0,1170,6651530,0,0,0,15,0,0
15,517.05,0.877225,590575,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6497319,0,0,0,15,0,0
15,928.068,1.2134,622630,7,0,0,0.0,0.0,0.002,0,11700,10920,0,972,1050,0,0,780,3736322,0,0,0,15,0,0
15,451.269,1.38695,644458,11,0,0,0.0,0.0,0.002,0,19500,18200,0,1620,1750,0,0,1300,6445481,0,0,0,15,0,0
15,412.751,1.09441,414190,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5385636,0,0,0,15,0,0
15,410.797,1.09656,589718,15,0,0,0.0,0.0,0.002,0,27300,25480,0,2268,2450,0,0,1820,8257311,0,0,0,15,0,0
15,459.9,1.17175,500534,14,0,0,0.0,0.0,0.002,0,25350,23660,0,2106,2275,0,0,1690,6508115,0,0,0,15,0,0
15,538.158,1.12297,574545,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,6320980,0,0,0,15,0,0
15,494.34,0.934888,358722,12,0,0,0.0,0.0,0.002,0,21450,20020,0,1782,1925,0,0,1430,3946932,0,0,0,15,0,0
