Mean Block Receive Time_x,Mean Block Size_y,Total average traffic/node,Label
776.792,523058,968.953,1
785.88,521886,969.937,1
757.899,494480,918.404,1
483.553,407391,768.558,0
1153.62,495276,933.342,0
518.284,519715,979.165,0
790.996,531427,988.902,1
640.087,600173,1130.02,0
833.265,529899,984.258,1
769.012,536471,994.27,1
785.785,526855,981.3,1
624.055,567459,1068.69,0
801.998,538097,998.115,1
776.533,507843,944.735,1
826.599,535202,994.961,1
867.769,519778,963.011,1
586.676,395836,746.894,0
769.658,520566,964.881,1
816.816,523363,974.214,1
928.016,622630,1172.13,0
456.029,628259,1182.69,0
586.589,395836,746.894,0
735.456,482218,908.86,0
456.005,628259,1182.69,0
370.098,610082,1148.6,0
590.988,449659,847.811,0
517.618,475198,895.697,0
774.624,546791,1016.43,1
847.047,549057,1017.86,1
606.53,389539,735.085,0
775.757,714262,1343.94,0
451.189,644458,1213.06,0
567.331,468419,882.987,0
517.019,590575,1112.03,0
590.945,449659,847.811,0
776.534,507843,944.735,1
817.588,521269,967.889,1
908.682,524168,969.633,1
348.292,610693,1149.75,0
283.05,477269,899.581,0
423.104,392321,740.302,0
538.147,574545,1081.97,0
797.902,506251,938.41,1
451.161,644458,1213.06,0
864.307,522868,970.88,1
722.657,662333,1246.57,0
452.106,651425,1226.12,0
582.942,657387,1237.3,0
451.225,644458,1213.06,0
798.721,520927,968.594,1
441.197,554224,1043.87,0
810.524,535380,995.159,1
820.372,508556,944.674,1
773.616,544183,1012.33,1
832.958,523308,971.445,1
773.616,544183,1012.33,1
747.108,772806,1453.71,0
722.628,662333,1246.57,0
806.479,531795,987.871,1
763.324,523515,973.376,1
372.095,537918,1013.3,0
819.566,537262,997.652,1
851.697,519049,962.396,1
449.2,668752,1258.61,0
582.676,580322,1092.81,0
1267.68,585971,1103.4,0
797.903,506251,938.41,1
817.588,521269,967.889,1
746.049,414006,780.962,0
1153.57,495276,933.342,0
820.614,522660,969.755,1
799.729,525438,975.891,1
800.66,541816,1007.24,1
830.521,505442,937.788,1
778.912,516325,959.627,1
1153.66,495276,933.342,0
778.28,529385,982.101,1
743.345,543394,1011.16,1
583.032,657387,1237.3,0
572.437,646172,1216.27,0
761.996,495943,921.732,1
774.622,546791,1016.43,1
494.348,358722,677.304,0
370.115,610082,1148.6,0
819.786,558228,1051.38,0
619.45,520249,966.249,1
775.747,714262,1343.94,0
750.393,463760,874.251,0
817.204,532586,989.706,1
533.183,360644,680.909,0
771.126,532354,989.21,1
743.345,543394,1011.16,1
810.523,535380,995.159,1
801.998,538097,998.115,1
590.847,449659,847.811,0
742.003,507091,955.497,0
441.138,554224,1043.87,0
991.713,628726,1183.56,0
1578.98,673913,1268.29,0
586.332,575478,1083.72,0
515.182,551064,1037.94,0
775.638,714262,1343.94,0
820.373,508556,944.674,1
625.637,738969,1390.27,0
775.987,506590,941.402,1
499.323,430958,812.747,0
735.452,482218,908.86,0
532.496,536837,1011.27,0
830.403,528404,982.408,1
582.895,430499,811.887,0
773.71,515358,958.496,1
664.699,513011,966.596,0
789.682,527578,982.054,1
456.011,628259,1182.69,0
660.465,724237,1362.64,0
609.583,441681,832.852,0
412.688,414190,781.306,0
664.783,513011,966.596,0
738.796,531169,989.392,1
367.965,385235,727.016,0
908.682,524168,969.633,1
559.669,522543,984.468,0
830.52,505442,937.788,1
572.372,646172,1216.27,0
766.877,514001,953.239,1
802.486,526586,979.093,1
543.012,457373,862.276,0
799.727,525438,975.891,1
798.721,520927,968.594,1
781.982,534915,993.499,1
771.126,532354,989.21,1
832.957,523308,971.445,1
766.713,527666,982.951,1
863.022,525413,972.545,1
891.48,500123,926.811,1
452.974,565624,1065.25,0
801.999,538097,998.115,1
800.66,541816,1007.24,1
790.477,503872,935.035,1
830.521,505442,937.788,1
775.986,506590,941.402,1
746.049,414006,780.962,0
757.899,494480,918.404,1
459.867,500534,943.202,0
479.297,525864,990.696,0
834.319,505029,938.876,1
841.869,534217,990.133,1
580.656,591857,1114.43,0
832.958,523308,971.445,1
532.031,509570,960.144,0
423.216,392321,740.302,0
532.01,509570,960.144,0
585.941,605493,1140,0
623.976,567459,1068.69,0
540.021,430959,812.749,0
1153.64,495276,933.342,0
428.134,598481,1126.85,0
627.463,525438,975.891,1
423.222,392321,740.302,0
471.858,584773,1101.15,0
449.199,668752,1258.61,0
432.233,445143,839.343,0
830.521,505442,937.788,1
664.788,513011,966.596,0
747.297,772806,1453.71,0
615.556,516198,972.571,0
773.617,544183,1012.33,1
810.524,535380,995.159,1
817.204,532586,989.706,1
621.306,520905,981.397,0
793.468,518725,962.853,1
538.09,574545,1081.97,0
415.77,467254,880.802,0
763.665,515166,956.665,1
930.738,603763,1136.76,0
494.417,358722,677.304,0
554.536,413433,851.205,0
799.728,525438,975.891,1
449.151,668752,1258.61,0
798.886,517161,960.232,1
1153.42,495276,933.342,0
410.793,589718,1110.42,0
644.926,526586,979.093,1
834.319,505029,938.876,1
590.973,449659,847.811,0
799.309,537893,1001.38,1
797.902,506251,938.41,1
624.082,567459,1068.69,0
781.983,534915,993.499,1
864.447,528085,981.101,1
540.034,430959,812.749,0
833.266,529899,984.258,1
471.946,584773,1101.15,0
542.928,457373,862.276,0
459.759,411055,775.429,0
410.79,589718,1110.42,0
580,594149,1118.73,0
517.662,475198,895.697,0
518.28,584460,1100.56,0
870.379,512707,948.277,1
479.326,525864,990.696,0
810.436,508738,943.456,1
810.836,550899,1022.91,1
415.713,467254,880.802,0
790.479,503872,935.035,1
490.64,625827,1178.13,0
797.903,506251,938.41,1
499.376,430958,812.747,0
810.837,550899,1022.91,1
518.309,584460,1100.56,0
459.783,411055,775.429,0
799.726,514111,957.06,1
798.721,520927,968.594,1
743.344,543394,1011.16,1
776.533,507843,944.735,1
810.836,550899,1022.91,1
820.373,508556,944.674,1
479.356,525864,990.696,0
820.615,522660,969.755,1
819.567,537262,997.652,1
870.379,512707,948.277,1
606.616,389539,735.085,0
798.721,520927,968.594,1
790.996,531427,988.902,1
625.663,738969,1390.27,0
639.869,537893,1001.38,1
794.365,542916,1008.87,1
769.658,520566,964.881,1
830.403,528404,982.408,1
810.795,531248,988.015,1
867.767,519778,963.011,1
368.003,385235,727.016,0
864.306,522868,970.88,1
484.75,360376,680.406,0
596.079,455996,859.692,0
451.262,644458,1213.06,0
627.356,520927,968.594,1
818.109,511759,949.606,1
455.978,628259,1182.69,0
761.996,495943,921.732,1
834.991,690843,1300.03,0
796.875,532384,989.667,1
776.793,523058,968.953,1
810.435,508738,943.456,1
799.726,514111,957.06,1
574.236,579203,1090.71,0
518.956,658403,1239.21,0
826.598,535202,994.961,1
521.423,409274,772.09,0
735.439,482218,908.86,0
766.713,527666,982.951,1
516.646,760126,1429.94,0
781.225,522506,971.288,1
518.319,584460,1100.56,0
594.703,494480,918.404,1
609.551,441681,832.852,0
799.309,537893,1001.38,1
789.682,527578,982.054,1
826.598,535202,994.961,1
559.713,522543,984.468,0
471.926,584773,1101.15,0
908.682,524168,969.633,1
479.336,525864,990.696,0
457.971,569380,1072.29,0
586.638,395836,746.894,0
771.126,532354,989.21,1
693.851,366198,691.321,0
743.345,543394,1011.16,1
516.646,760126,1429.94,0
806.479,531795,987.871,1
746.08,414006,780.962,0
516.647,760126,1429.94,0
834.32,505029,938.876,1
585.893,605493,1140,0
490.707,625827,1178.13,0
432.183,445143,839.343,0
778.913,516325,959.627,1
606.578,389539,735.085,0
776.793,523058,968.953,1
632.19,543642,1008.83,1
799.726,514111,957.06,1
847.047,549057,1017.86,1
596.05,455996,859.692,0
483.575,407391,768.558,0
494.433,358722,677.304,0
531.022,421923,795.806,0
590.98,449659,847.811,0
580.879,789442,1484.9,0
652.388,528404,982.408,1
794.364,542916,1008.87,1
832.958,523308,971.445,1
789.681,527578,982.054,1
554.413,413433,851.205,0
771.126,532354,989.21,1
763.323,523515,973.376,1
518.872,658403,1239.21,0
797.901,506251,938.41,1
811.68,536198,994.148,1
757.898,494480,918.404,1
930.779,603763,1136.76,0
452.941,565624,1065.25,0
818.497,519520,965.201,1
586.328,575478,1083.72,0
621.305,520905,981.397,0
817.588,521269,967.889,1
690.377,454083,856.106,0
773.709,515358,958.496,1
805.69,510810,946.659,1
586.673,395836,746.894,0
801.998,538097,998.115,1
864.449,528085,981.101,1
781.983,534915,993.499,1
851.696,519049,962.396,1
367.985,385235,727.016,0
818.109,511759,949.606,1
757.898,494480,918.404,1
459.864,500534,943.202,0
664.692,513011,966.596,0
775.612,527758,982.095,1
813.853,484144,897.906,1
627.463,525438,975.891,1
428.921,485281,914.602,0
794.561,528119,979.916,1
796.747,495498,919.284,1
527.744,635086,1195.49,0
844.879,548020,1017.66,1
1115.97,329200,621.95,0
367.994,385235,727.016,0
372.112,537918,1013.3,0
800.659,541816,1007.24,1
368.01,385235,727.016,0
495.448,464850,876.294,0
741.896,507091,955.497,0
763.322,523515,973.376,1
930.667,603763,1136.76,0
531.002,421923,795.806,0
799.724,514111,957.06,1
532.439,536837,1011.27,0
531.976,509570,960.144,0
743.345,543394,1011.16,1
415.786,467254,880.802,0
763.324,523515,973.376,1
820.372,508556,944.674,1
454.525,471388,888.553,0
826.599,535202,994.961,1
819.783,558228,1051.38,0
504.957,457856,863.18,0
582.934,657387,1237.3,0
518.824,658403,1239.21,0
517.59,475198,895.697,0
451.269,644458,1213.06,0
738.796,531169,989.392,1
799.31,537893,1001.38,1
476.492,565725,1065.44,0
457.968,569380,1072.29,0
819.789,558228,1051.38,0
639.953,600173,1130.02,0
844.879,548020,1017.66,1
693.968,366198,691.321,0
746.048,414006,780.962,0
773.615,544183,1012.33,1
1116.14,329200,621.95,0
629.645,522660,969.755,1
794.365,542916,1008.87,1
811.681,536198,994.148,1
763.665,515166,956.665,1
816.818,523363,974.214,1
806.999,522566,968.333,1
615.551,516198,972.571,0
518.304,584460,1100.56,0
603.027,506861,943.505,1
368.028,385235,727.016,0
531.947,509570,960.144,0
532.552,536837,1011.27,0
459.78,411055,775.429,0
615.143,545006,1008.24,1
459.773,411055,775.429,0
785.784,526855,981.3,1
517.647,475198,895.697,0
518.322,584460,1100.56,0
469.183,598137,1126.21,0
372.149,537918,1013.3,0
800.659,541816,1007.24,1
738.797,531169,989.392,1
793.468,518725,962.853,1
469.173,598137,1126.21,0
484.786,360376,680.406,0
805.69,510810,946.659,1
834.319,505029,938.876,1
518.257,519715,979.165,0
533.174,360644,680.909,0
532.024,509570,960.144,0
835.043,690843,1300.03,0
798.887,517161,960.232,1
757.899,494480,918.404,1
538.15,574545,1081.97,0
771.126,532354,989.21,1
423.171,392321,740.302,0
370.068,610082,1148.6,0
834.319,505029,938.876,1
771.126,532354,989.21,1
517.708,475198,895.697,0
476.408,565725,1065.44,0
802.486,526586,979.093,1
781.982,534915,993.499,1
840.535,354691,669.747,0
766.713,527666,982.951,1
844.879,548020,1017.66,1
766.877,514001,953.239,1
867.768,519778,963.011,1
456,628259,1182.69,0
891.48,500123,926.811,1
567.278,468419,882.987,0
761.996,495943,921.732,1
586.24,575478,1083.72,0
484.809,360376,680.406,0
664.752,513011,966.596,0
796.746,495498,919.284,1
769.012,536471,994.27,1
816.817,523363,974.214,1
781.982,534915,993.499,1
457.985,569380,1072.29,0
567.346,468419,882.987,0
518.314,584460,1100.56,0
572.314,646172,1216.27,0
609.605,441681,832.852,0
820.373,508556,944.674,1
813.852,484144,897.906,1
818.11,511759,949.606,1
432.215,445143,839.343,0
583.008,657387,1237.3,0
930.772,603763,1136.76,0
810.523,535380,995.159,1
469.088,598137,1126.21,0
816.818,523363,974.214,1
527.718,635086,1195.49,0
785.881,521886,969.937,1
609.617,441681,832.852,0
805.69,510810,946.659,1
441.175,554224,1043.87,0
521.512,409274,772.09,0
751.396,508703,946.802,1
738.796,531169,989.392,1
469.214,598137,1126.21,0
810.524,535380,995.159,1
773.709,515358,958.496,1
805.69,510810,946.659,1
1579.04,673913,1268.29,0
781.983,534915,993.499,1
540.052,430959,812.749,0
799.729,525438,975.891,1
781.983,534915,993.499,1
372.145,537918,1013.3,0
461.275,389327,734.689,0
738.795,531169,989.392,1
722.661,662333,1246.57,0
781.982,534915,993.499,1
533.913,606000,1140.95,0
554.418,413433,851.205,0
441.388,618543,1164.47,0
662.536,512707,948.277,1
775.752,714262,1343.94,0
816.816,523363,974.214,1
840.462,354691,669.747,0
863.022,525413,972.545,1
441.199,554224,1043.87,0
630.642,541816,1007.24,1
747.273,772806,1453.71,0
660.342,724237,1362.64,0
583.012,657387,1237.3,0
832.958,523308,971.445,1
769.658,520566,964.881,1
459.879,500534,943.202,0
801.999,538097,998.115,1
799.238,543642,1008.83,1
1267.58,585971,1103.4,0
775.612,527758,982.095,1
559.694,522543,984.468,0
370.111,610082,1148.6,0
801.998,538097,998.115,1
750.478,463760,874.251,0
810.795,531248,988.015,1
693.928,366198,691.321,0
1115.95,329200,621.95,0
476.402,565725,1065.44,0
810.795,531248,988.015,1
864.449,528085,981.101,1
757.084,538811,1001.14,1
816.818,523363,974.214,1
690.371,454083,856.106,0
776.533,507843,944.735,1
778.281,529385,982.101,1
794.56,528119,979.916,1
531.99,509570,960.144,0
763.323,523515,973.376,1
930.619,603763,1136.76,0
810.795,531248,988.015,1
763.321,523515,973.376,1
415.796,467254,880.802,0
542.994,457373,862.276,0
775.987,506590,941.402,1
832.958,523308,971.445,1
778.28,529385,982.101,1
457.975,569380,1072.29,0
817.588,521269,967.889,1
891.478,500123,926.811,1
415.784,467254,880.802,0
863.022,525413,972.545,1
800.659,541816,1007.24,1
596.089,455996,859.692,0
580.91,789442,1484.9,0
533.935,606000,1140.95,0
763.324,523515,973.376,1
817.588,521269,967.889,1
991.677,628726,1183.56,0
615.611,732029,1377.25,0
572.341,646172,1216.27,0
1267.73,585971,1103.4,0
776.533,507843,944.735,1
615.603,516198,972.571,0
738.796,531169,989.392,1
471.956,584773,1101.15,0
819.566,537262,997.652,1
580.083,594149,1118.73,0
559.707,522543,984.468,0
867.769,519778,963.011,1
469.127,598137,1126.21,0
833.266,529899,984.258,1
930.772,603763,1136.76,0
733.469,533647,991.295,1
830.521,505442,937.788,1
410.786,589718,1110.42,0
763.321,523515,973.376,1
793.468,518725,962.853,1
1267.59,585971,1103.4,0
841.87,534217,990.133,1
499.329,430958,812.747,0
750.37,463760,874.251,0
794.56,528119,979.916,1
559.656,522543,984.468,0
632.104,531795,987.871,1
847.047,549057,1017.86,1
586.043,436013,822.224,0
870.379,512707,948.277,1
738.797,531169,989.392,1
789.834,520249,966.249,1
590.852,509506,960.024,0
835.024,690843,1300.03,0
750.465,463760,874.251,0
494.37,358722,677.304,0
864.449,528085,981.101,1
586.291,575478,1083.72,0
615.546,732029,1377.25,0
372.063,537918,1013.3,0
616.736,527666,982.951,1
582.841,430499,811.887,0
757.084,538811,1001.14,1
766.877,514001,953.239,1
471.954,584773,1101.15,0
796.873,532384,989.667,1
799.728,525438,975.891,1
908.682,524168,969.633,1
580.107,594149,1118.73,0
531.07,421923,795.806,0
521.501,409274,772.09,0
820.614,522660,969.755,1
743.345,543394,1011.16,1
738.797,531169,989.392,1
638.874,508556,944.674,1
738.796,531169,989.392,1
774.624,546791,1016.43,1
794.561,528119,979.916,1
586.101,436013,822.224,0
776.792,523058,968.953,1
586.592,395836,746.894,0
538.148,574545,1081.97,0
761.996,495943,921.732,1
625.624,738969,1390.27,0
580.142,594149,1118.73,0
595.974,455996,859.692,0
775.611,527758,982.095,1
690.331,454083,856.106,0
741.949,507091,955.497,0
543.012,457373,862.276,0
757.083,538811,1001.14,1
621.227,520905,981.397,0
826.598,535202,994.961,1
432.231,445143,839.343,0
840.719,354691,669.747,0
930.667,603763,1136.76,0
621.28,520905,981.397,0
518.291,519715,979.165,0
743.345,543394,1011.16,1
693.843,366198,691.321,0
457.913,569380,1072.29,0
609.544,441681,832.852,0
819.777,558228,1051.38,0
586.635,395836,746.894,0
559.687,522543,984.468,0
531.075,421923,795.806,0
805.69,510810,946.659,1
615.581,516198,972.571,0
471.886,584773,1101.15,0
580.089,594149,1118.73,0
781.227,522506,971.288,1
582.899,430499,811.887,0
1153.61,495276,933.342,0
415.768,467254,880.802,0
757.084,538811,1001.14,1
811.681,536198,994.148,1
531.018,421923,795.806,0
515.183,551064,1037.94,0
627.072,538097,998.115,1
559.744,522543,984.468,0
606.609,389539,735.085,0
798.721,520927,968.594,1
769.658,520566,964.881,1
432.231,445143,839.343,0
1267.64,585971,1103.4,0
796.746,495498,919.284,1
527.793,635086,1195.49,0
851.698,519049,962.396,1
495.516,464850,876.294,0
930.74,603763,1136.76,0
820.614,522660,969.755,1
476.54,565725,1065.44,0
840.548,354691,669.747,0
799.727,525438,975.891,1
820.373,508556,944.674,1
670.457,522868,970.88,1
580.613,591857,1114.43,0
484.803,360376,680.406,0
483.526,407391,768.558,0
625.55,738969,1390.27,0
515.106,551064,1037.94,0
521.503,409274,772.09,0
582.724,580322,1092.81,0
794.365,542916,1008.87,1
618.706,503872,935.035,1
532.459,536837,1011.27,0
757.084,538811,1001.14,1
586.279,575478,1083.72,0
819.78,558228,1051.38,0
799.728,525438,975.891,1
494.312,358722,677.304,0
441.192,554224,1043.87,0
505.008,457856,863.18,0
596.084,455996,859.692,0
469.117,598137,1126.21,0
533.863,606000,1140.95,0
1116.14,329200,621.95,0
816.817,523363,974.214,1
516.645,760126,1429.94,0
517.027,590575,1112.03,0
794.56,528119,979.916,1
908.682,524168,969.633,1
580.13,594149,1118.73,0
834.318,505029,938.876,1
818.109,511759,949.606,1
743.345,543394,1011.16,1
469.158,598137,1126.21,0
459.725,411055,775.429,0
789.682,527578,982.054,1
757.084,538811,1001.14,1
459.803,500534,943.202,0
484.806,360376,680.406,0
908.68,524168,969.633,1
773.616,544183,1012.33,1
826.598,535202,994.961,1
806.478,531795,987.871,1
518.307,584460,1100.56,0
834.319,505029,938.876,1
799.726,514111,957.06,1
574.581,533647,991.295,1
781.983,534915,993.499,1
833.265,529899,984.258,1
1115.98,329200,621.95,0
778.281,529385,982.101,1
771.125,532354,989.21,1
781.983,534915,993.499,1
580.078,594149,1118.73,0
769.012,536471,994.27,1
769.657,520566,964.881,1
348.309,610693,1149.75,0
833.265,529899,984.258,1
841.869,534217,990.133,1
870.379,512707,948.277,1
781.982,534915,993.499,1
851.697,519049,962.396,1
750.49,463760,874.251,0
423.205,392321,740.302,0
733.469,533647,991.295,1
771.126,532354,989.21,1
735.408,482218,908.86,0
789.682,527578,982.054,1
738.795,531169,989.392,1
586.666,395836,746.894,0
743.345,543394,1011.16,1
640.228,521269,967.889,1
798.721,520927,968.594,1
746.052,414006,780.962,0
423.199,392321,740.302,0
773.615,544183,1012.33,1
769.013,536471,994.27,1
864.448,528085,981.101,1
499.383,430958,812.747,0
664.759,513011,966.596,0
799.31,537893,1001.38,1
769.658,520566,964.881,1
817.863,545006,1008.24,1
459.83,500534,943.202,0
516.63,760126,1429.94,0
776.532,507843,944.735,1
810.524,535380,995.159,1
800.659,541816,1007.24,1
834.884,690843,1300.03,0
818.109,511759,949.606,1
574.189,579203,1090.71,0
891.48,500123,926.811,1
572.298,646172,1216.27,0
811.679,536198,994.148,1
590.863,509506,960.024,0
775.987,506590,941.402,1
517.079,590575,1112.03,0
582.637,580322,1092.81,0
908.682,524168,969.633,1
927.894,622630,1172.13,0
461.346,389327,734.689,0
626.161,542916,1008.87,1
693.893,366198,691.321,0
454.573,471388,888.553,0
799.729,525438,975.891,1
741.903,507091,955.497,0
410.797,589718,1110.42,0
757.899,494480,918.404,1
586.022,436013,822.224,0
781.982,534915,993.499,1
863.022,525413,972.545,1
747.243,772806,1453.71,0
799.238,543642,1008.83,1
516.646,760126,1429.94,0
452.1,651425,1226.12,0
625.563,738969,1390.27,0
598.349,531169,989.392,1
751.394,508703,946.802,1
543.013,457373,862.276,0
818.109,511759,949.606,1
629.651,484144,897.906,1
794.56,528119,979.916,1
412.694,414190,781.306,0
790.481,503872,935.035,1
476.355,565725,1065.44,0
817.204,532586,989.706,1
781.226,522506,971.288,1
738.797,531169,989.392,1
471.944,584773,1101.15,0
818.109,511759,949.606,1
789.682,527578,982.054,1
991.711,628726,1183.56,0
372.09,537918,1013.3,0
790.482,503872,935.035,1
423.144,392321,740.302,0
818.497,519520,965.201,1
454.498,471388,888.553,0
580.862,789442,1484.9,0
746.05,414006,780.962,0
586.664,395836,746.894,0
471.948,584773,1101.15,0
582.61,580322,1092.81,0
590.952,449659,847.811,0
797.902,506251,938.41,1
867.769,519778,963.011,1
763.322,523515,973.376,1
494.333,358722,677.304,0
348.219,610693,1149.75,0
1578.98,673913,1268.29,0
415.782,467254,880.802,0
785.784,526855,981.3,1
517.012,590575,1112.03,0
517.677,475198,895.697,0
601.325,523058,968.953,1
867.767,519778,963.011,1
615.507,516198,972.571,0
738.797,531169,989.392,1
796.874,532384,989.667,1
840.694,354691,669.747,0
785.88,521886,969.937,1
538.133,574545,1081.97,0
797.903,506251,938.41,1
769.658,520566,964.881,1
848.381,535320,993.679,1
785.88,521886,969.937,1
428.096,598481,1126.85,0
830.404,528404,982.408,1
370.069,610082,1148.6,0
504.934,457856,863.18,0
743.624,506861,943.505,1
775.612,527758,982.095,1
660.408,724237,1362.64,0
372.159,537918,1013.3,0
