Mean Block Receive Time,Mean Block Size,The average INV,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node,Is Attacker
815.92,505442,1316210,114752,84292.5,342550000,229504,168585,685099000,937.788,688336000,1
428.134,598481,25593.8,2296.88,1706.25,7856240,4593.75,3412.5,15712500,1126.85,15775900,0
830.537,549057,1289550,111397,81528.8,365866000,222795,163058,731732000,1017.86,734895000,1
415.77,467254,25593.8,2296.88,1706.25,6133890,4593.75,3412.5,12267800,880.802,12331200,0
833.031,535320,1288250,111762,81935.6,356142000,223524,163871,712285000,993.679,715449000,1
494.366,358722,20109.4,1804.69,1340.62,3700250,3609.38,2681.25,7400500,677.304,7450350,0
370.097,610082,27421.9,2460.94,1828.12,8580550,4921.88,3656.25,17161100,1148.6,17229100,0
804.362,519520,1334200,114442,83518.1,357904000,228883,167036,715808000,965.201,719075000,1
693.898,366198,14625,1312.5,975,2747160,2625,1950,5494310,691.321,5530570,0
797.349,535380,1344090,112682,81463.1,372544000,225364,162926,745088000,995.159,748359000,1
781.261,542916,1373270,116905,85053.8,385224000,233811,170108,770447000,1008.87,773803000,1
747.226,772806,14625,1312.5,975,5796720,2625,1950,11593400,1453.71,11629700,0
756.746,520566,1415940,121296,88473.8,379878000,242591,176948,759755000,964.881,763221000,1
785.319,520927,1366140,116425,84742.5,367849000,232851,169485,735698000,968.594,739037000,1
660.432,724237,12796.9,1148.44,853.125,4753390,2296.88,1706.25,9506790,1362.64,9538510,0
559.698,522543,18281.3,1640.62,1218.75,4899680,3281.25,2437.5,9799360,984.468,9844680,0
483.516,407391,21937.5,1968.75,1462.5,4584160,3937.5,2925,9168320,768.558,9222700,0
532.498,536837,20109.4,1804.69,1340.62,5537060,3609.38,2681.25,11074100,1011.27,11124000,0
471.93,584773,20109.4,1804.69,1340.62,6031400,3609.38,2681.25,12062800,1101.15,12112600,0
722.629,662333,14625,1312.5,975,4968170,2625,1950,9936340,1246.57,9972600,0
527.739,635086,20109.4,1804.69,1340.62,6550250,3609.38,2681.25,13100500,1195.49,13150400,0
788.268,538097,1359860,115140,83583.8,378124000,230280,167168,756248000,998.115,759566000,1
873.575,500123,1224270,106020,77670,315930000,212040,155340,631860000,926.811,634865000,1
776.488,520249,1374570,116541,84646.9,369845000,233081,169294,739690000,966.249,743045000,1
582.663,580322,18281.3,1640.62,1218.75,5441370,3281.25,2437.5,10882700,1092.81,10928100,0
781.97,506251,1365480,119093,87495,356793000,238187,174990,713587000,938.41,716945000,1
504.957,457856,20109.4,1804.69,1340.62,4722570,3609.38,2681.25,9445130,863.18,9494980,0
590.921,449659,14625,1312.5,975,3373120,2625,1950,6746240,847.811,6782490,0
778.403,518725,1374950,118580,86728.1,368531000,237159,173456,737062000,962.853,740434000,1
774.161,526855,1384480,116467,84320.6,377586000,232935,168641,755172000,981.3,758545000,1
817.25,523308,1312370,114247,83872.5,354421000,228495,167745,708843000,971.445,712069000,1
479.342,525864,20109.4,1804.69,1340.62,5423900,3609.37,2681.25,10847800,990.696,10897700,0
783.946,532384,1364570,116526,84885,375395000,233051,169770,750789000,989.667,754126000,1
835.001,690843,12796.9,1148.44,853.125,4534240,2296.88,1706.25,9068490,1300.03,9100210,0
806.074,508556,1330370,113937,83098.1,349318000,227874,166196,698636000,944.674,701893000,1
745.131,494480,1436020,121414,88085.6,366988000,242828,176171,733976000,918.404,737479000,1
459.867,500534,23765.6,2132.81,1584.38,6101360,4265.62,3168.75,12202700,943.202,12261600,0
806.074,508556,1330370,113937,83098.1,349318000,227874,166196,698636000,944.674,701893000,1
596.031,455996,18281.3,1640.62,1218.75,4275800,3281.25,2437.5,8551600,859.692,8596920,0
451.212,644458,18281.3,1640.62,1218.75,6042640,3281.25,2437.5,12085300,1213.06,12130600,0
515.13,551064,20109.4,1804.69,1340.62,5683770,3609.38,2681.25,11367500,1037.94,11417400,0
791.342,510810,1351420,115025,83679.4,356186000,230049,167359,712372000,946.659,715674000,1
780.796,528119,1367790,116413,84688.1,373147000,232826,169376,746294000,979.916,749636000,1
803.66,521269,1332720,114630,83748.8,358422000,229260,167498,716844000,967.889,720109000,1
735.415,482218,14625,1312.5,975,3617310,2625,1950,7234630,908.86,7270880,0
796.685,536198,1343690,115614,84480,371656000,231229,168960,743312000,994.148,746605000,1
452.954,565624,23765.6,2132.81,1584.38,6894640,4265.62,3168.75,13789300,1065.25,13848200,0
801.356,545006,1337370,117614,86690.6,375432000,235228,173381,750864000,1008.24,754161000,1
820.596,529899,1307370,110911,80578.1,357658000,221822,161156,715317000,984.258,718509000,1
787.394,541816,1363630,117243,85644.4,381584000,234486,171289,763169000,1007.24,766510000,1
767.931,534915,1390890,121214,89025,384264000,242428,178050,768529000,993.499,771949000,1
728.113,531169,1475800,124583,90326.3,405336000,249165,180652,810672000,989.392,814270000,1
792.779,531795,1348740,115666,84405,370282000,231332,168810,740565000,987.871,743867000,1
804.783,537262,1333690,115599,84718.1,369988000,231199,169436,739976000,997.652,743251000,1
746.08,414006,14625,1312.5,975,3105720,2625,1950,6211440,780.962,6247700,0
580.66,591857,16453.1,1476.56,1096.88,4994550,2953.12,2193.75,9989100,1114.43,10029900,0
799.234,484144,1338800,114052,83002.5,334630000,228105,166005,669259000,897.906,672532000,1
805.344,522660,1330300,115536,84738.8,358630000,231071,169478,717259000,969.755,720528000,1
779.109,531427,1380960,119601,87622.5,378538000,239201,175245,757076000,988.902,760466000,1
755.236,527666,1421680,122052,89103.7,387507000,244104,178207,775015000,982.951,778497000,1
805.187,523363,1330340,112251,81369.4,359812000,224501,162739,719623000,974.214,722867000,1
816.479,528404,1311640,111856,81438.8,358449000,223712,162878,716898000,982.408,720105000,1
640.022,600173,16453.1,1476.56,1096.88,5064720,2953.12,2193.75,10129400,1130.02,10170200,0
803.569,532586,1336910,115487,84521.3,367521000,230974,169042,735041000,989.706,738321000,1
348.279,610693,31078.1,2789.06,2071.88,9734350,5578.13,4143.75,19468700,1149.75,19545700,0
853.649,512707,1255350,108809,79741.9,331304000,217618,159484,662608000,948.277,665690000,1
777.005,503872,1372410,117711,85901.2,356906000,235421,171802,713811000,935.035,717172000,1
796.16,508738,1346050,116307,85130.6,353088000,232614,170261,706176000,943.456,709479000,1
930.738,603763,10968.8,984.375,731.25,3396680,1968.75,1462.5,6793350,1136.76,6820540,0
751.696,523515,1428090,120141,86981.3,386638000,240281,173963,773275000,973.376,776754000,1
454.561,471388,23765.6,2132.81,1584.38,5746140,4265.62,3168.75,11492300,888.553,11551200,0
761.968,546791,1408980,120992,88338.8,397731000,241984,176678,795461000,1016.43,798912000,1
572.367,646172,18281.2,1640.62,1218.75,6058710,3281.25,2437.5,12117400,1216.27,12162700,0
625.615,738969,16453.1,1476.56,1096.88,6235810,2953.12,2193.75,12471600,1390.27,12512400,0
582.891,430499,18281.3,1640.62,1218.75,4036780,3281.25,2437.5,8073550,811.887,8118870,0
775.705,714262,12796.9,1148.44,853.125,4687940,2296.88,1706.25,9375880,1343.94,9407600,0
609.557,441681,10968.8,984.375,731.25,2484960,1968.75,1462.5,4969920,832.852,4997110,0
484.788,360376,21937.5,1968.75,1462.5,4055250,3937.5,2925,8110490,680.406,8164880,0
518.881,658403,16453.1,1476.56,1096.88,5556040,2953.12,2193.75,11112100,1239.21,11152900,0
849.871,519778,1260940,111076,81924.4,337907000,222152,163849,675813000,963.011,678923000,1
790.411,526586,1359550,118161,86688.7,368916000,236321,173378,737833000,979.093,741174000,1
410.807,589718,25593.8,2296.88,1706.25,7741230,4593.75,3412.5,15482500,1110.42,15545900,0
796.16,508738,1346050,116307,85130.6,353088000,232614,170261,706176000,943.456,709479000,1
499.325,430958,16453.1,1476.56,1096.88,3636970,2953.12,2193.75,7273940,812.747,7314720,0
796.685,536198,1343690,115614,84480,371656000,231229,168960,743312000,994.148,746605000,1
372.127,537918,29250,2625,1950,8070120,5250,3900,16140200,1013.3,16212800,0
452.075,651425,21937.5,1968.75,1462.5,7329540,3937.5,2925,14659100,1226.12,14713500,0
819.718,505029,1308250,111792,81459.4,341559000,223584,162919,683118000,938.876,686318000,1
533.871,606000,20109.4,1804.69,1340.62,6250300,3609.38,2681.25,12500600,1140.95,12550500,0
740.991,508703,1448620,120699,87033.7,381221000,241399,174068,762443000,946.802,765963000,1
761.217,544183,1410450,120803,88108.1,396624000,241607,176216,793248000,1012.33,796700000,1
835.951,519049,1275520,109015,79441.9,342015000,218031,158884,684030000,962.396,687151000,1
785.319,520927,1366140,116425,84742.5,367849000,232851,169485,735698000,968.594,739037000,1
664.748,513011,16453.1,1476.56,1096.88,4329290,2953.12,2193.75,8658580,966.596,8699360,0
763.969,529385,1402720,121393,88908.8,383262000,242786,177818,766524000,982.101,769967000,1
741.971,507091,14625,1312.5,975,3803860,2625,1950,7607720,955.497,7643980,0
423.183,392321,23765.6,2132.81,1584.38,4782510,4265.62,3168.75,9565010,740.302,9623930,0
518.285,584460,16453.1,1476.56,1096.88,4932140,2953.12,2193.75,9864290,1100.56,9905080,0
540.02,430959,18281.3,1640.62,1218.75,4041090,3281.25,2437.5,8082170,812.749,8127490,0
785.009,517161,1361970,117255,85698.8,363699000,234510,171398,727398000,960.232,730736000,1
745.131,494480,1436020,121414,88085.6,366988000,242828,176171,733976000,918.404,737479000,1
725.091,643812,14625,1312.5,975,4829270,2625,1950,9658530,1211.85,9694790,0
1116.03,329200,9140.63,820.312,609.375,1543540,1640.62,1218.75,3087090,621.95,3109750,0
283.048,477269,31078.1,2789.06,2071.88,7607910,5578.13,4143.75,15215800,899.581,15292900,0
615.562,516198,16453.1,1476.56,1096.88,4356180,2953.12,2193.75,8712350,972.571,8753140,0
586.638,395836,18281.3,1640.62,1218.75,3711810,3281.25,2437.5,7423620,746.894,7468940,0
532.014,509570,20109.4,1804.69,1340.62,5255870,3609.38,2681.25,10511700,960.144,10561600,0
732.797,543394,1461590,122024,88063.1,410777000,244048,176126,821554000,1011.16,825107000,1
786.253,525438,1363510,115468,83827.5,370151000,230936,167655,740302000,975.891,743629000,1
542.994,457373,20109.4,1804.69,1340.62,4717590,3609.38,2681.25,9435180,862.276,9485030,0
574.231,579203,18281.3,1640.62,1218.75,5430870,3281.25,2437.5,10861700,1090.71,10907100,0
798.314,531248,1340980,114569,83476.9,367877000,229138,166954,735755000,988.015,739035000,1
777.005,503872,1372410,117711,85901.2,356906000,235421,171802,713811000,935.035,717172000,1
787.027,537893,1361950,115568,83970,378863000,231137,167940,757727000,1001.38,761052000,1
753.212,514001,1423690,122392,89401.9,377645000,244785,178804,755290000,953.239,758778000,1
766.471,516325,1399200,117868,85383.8,373510000,235736,170768,747019000,959.627,750429000,1
760.615,515358,1408910,122590,89979.4,374957000,245181,179959,749914000,958.496,753378000,1
792.032,522566,1353540,117140,85794.4,364853000,234279,171589,729706000,968.333,733028000,1
889.045,524168,1202000,105385,77583.8,324801000,210771,155168,649602000,969.633,652563000,1
804.783,537262,1333690,115599,84718.1,369988000,231199,169436,739976000,997.652,743251000,1
586.289,575478,16453.1,1476.56,1096.88,4856360,2953.12,2193.75,9712710,1083.72,9753500,0
772.813,521886,1388070,118394,86205,374154000,236788,172410,748308000,969.937,751701000,1
521.477,409274,14625,1312.5,975,3070230,2625,1950,6140460,772.09,6176720,0
367.994,385235,29250,2625,1950,5779870,5250,3900,11559700,727.016,11632300,0
787.027,537893,1361950,115568,83970,378863000,231137,167940,757727000,1001.38,761052000,1
805.187,523363,1330340,112251,81369.4,359812000,224501,162739,719623000,974.214,722867000,1
476.477,565725,12796.9,1148.44,853.125,3713160,2296.88,1706.25,7426330,1065.44,7458050,0
721.013,533647,1488620,127417,92908.1,410557000,254835,185816,821114000,991.295,824757000,1
795.788,550899,1347810,118070,86893.1,382953000,236139,173786,765906000,1022.91,769225000,1
759.177,532354,1412260,119281,86501.2,388521000,238562,173002,777043000,989.21,780486000,1
749.666,495943,1431160,121538,88336.9,366485000,243077,176674,732969000,921.732,736464000,1
538.132,574545,20109.4,1804.69,1340.62,5925920,3609.37,2681.25,11851800,1081.97,11901700,0
531.022,421923,20109.4,1804.69,1340.62,4352010,3609.38,2681.25,8704010,795.806,8753860,0
848.965,522868,1265550,110687,81408.8,341163000,221374,162818,682326000,970.88,685441000,1
568.095,413433,13260,1312.5,975,3176260,2493.75,1950,5978590,851.205,6011640,0
750.382,463760,10968.8,984.375,731.25,2609160,1968.75,1462.5,5218310,874.251,5245500,0
786.259,543642,1364220,116173,84532.5,382695000,232346,169065,765391000,1008.83,768725000,1
762.901,527758,1406180,119858,87247.5,383754000,239717,174495,767508000,982.095,770945000,1
762.895,523058,1405700,122703,90176.3,378585000,245406,180352,757170000,968.953,760628000,1
840.634,354691,10968.8,984.375,731.25,1995640,1968.75,1462.5,3991290,669.747,4018480,0
803.726,511759,1333780,115688,84806.2,352090000,231375,169612,704180000,949.606,707456000,1
615.62,732029,16453.1,1476.56,1096.88,6177250,2953.12,2193.75,12354500,1377.25,12395300,0
621.279,520905,14625,1312.5,975,3907460,2625,1950,7814920,981.397,7851180,0
441.356,618543,12796.9,1148.44,853.125,4059780,2296.88,1706.25,8119550,1164.47,8151280,0
690.334,454083,10968.7,984.375,731.25,2554720,1968.75,1462.5,5109440,856.106,5136640,0
428.975,485281,20109.4,1804.69,1340.62,5005390,3609.38,2681.25,10010800,914.602,10060600,0
759.177,532354,1412260,119281,86501.2,388521000,238562,173002,777043000,989.21,780486000,1
767.931,534915,1390890,121214,89025,384264000,242428,178050,768529000,993.499,771949000,1
461.312,389327,23765.6,2132.81,1584.38,4746020,4265.62,3168.75,9492040,734.689,9550960,0
732.797,543394,1461590,122024,88063.1,410777000,244048,176126,821554000,1011.16,825107000,1
585.95,605493,16453.1,1476.56,1096.88,5109600,2953.12,2193.75,10219200,1140,10260000,0
768.822,522506,1394770,118433,86075.6,376614000,236867,172151,753227000,971.288,756633000,1
582.991,657387,16453.1,1476.56,1096.88,5547460,2953.12,2193.75,11094900,1237.3,11135700,0
1153.58,495276,9140.63,820.312,609.375,2322030,1640.62,1218.75,4644050,933.342,4666710,0
432.215,445143,23765.6,2132.81,1584.38,5426270,4265.62,3168.75,10852500,839.343,10911500,0
567.284,468419,9140.63,820.312,609.375,2196140,1640.62,1218.75,4392270,882.987,4414930,0
750.191,515166,1428470,122180,89062.5,380440000,244359,178125,760880000,956.665,764375000,1
787.181,514111,1362990,114939,83298.8,362500000,229879,166598,725001000,957.06,728323000,1
412.706,414190,23765.6,2132.81,1584.38,5049030,4265.62,3168.75,10098100,781.306,10157000,0
606.582,389539,16453.1,1476.56,1096.88,3287490,2953.12,2193.75,6574980,735.085,6615770,0
732.945,506861,1463160,121924,87920.6,383644000,243848,175841,767288000,943.505,770844000,1
819.816,558228,12796.9,1148.44,853.125,3663960,2296.88,1706.25,7327920,1051.38,7359640,0
765.745,507843,1393180,116847,84489.4,365806000,233694,168979,731613000,944.735,735004000,1
533.207,360644,20109.4,1804.69,1340.62,3720070,3609.37,2681.25,7440140,680.909,7490000,0
786.253,525438,1363510,115468,83827.5,370151000,230936,167655,740302000,975.891,743629000,1
777.534,527578,1379970,116945,84924.4,376407000,233889,169849,752813000,982.054,756181000,1
835.951,519049,1275520,109015,79441.9,342015000,218031,158884,684030000,962.396,687151000,1
777.534,527578,1379970,116945,84924.4,376407000,233889,169849,752813000,982.054,756181000,1
845.912,525413,1268430,111908,82588.1,343202000,223817,165176,686404000,972.545,689534000,1
783.707,495498,1369880,116842,85074.4,349952000,233683,170149,699903000,919.284,703253000,1
455.99,628259,23765.6,2132.81,1584.38,7658000,4265.62,3168.75,15316000,1182.69,15374900,0
490.727,625827,21937.5,1968.75,1462.5,7041560,3937.5,2925,14083100,1178.13,14137500,0
927.973,622630,10968.8,984.375,731.25,3502800,1968.75,1462.5,7005600,1172.13,7032800,0
459.759,411055,23765.6,2132.81,1584.38,5010830,4265.62,3168.75,10021700,775.429,10080600,0
753.297,536471,1421620,123651,90744.4,393972000,247301,181489,787945000,994.27,791439000,1
848.934,528085,1264400,109541,80263.1,344777000,219083,160526,689553000,981.101,692657000,1
516.627,760126,20109.4,1804.69,1340.62,7839730,3609.38,2681.25,15679500,1429.94,15729300,0
518.245,519715,20109.4,1804.69,1340.62,5360480,3609.38,2681.25,10721000,979.165,10770800,0
517.052,590575,20109.4,1804.69,1340.62,6091240,3609.37,2681.25,12182500,1112.03,12232300,0
441.175,554224,21937.5,1968.75,1462.5,6236030,3937.5,2925,12472100,1043.87,12526400,0
812.659,535202,1315210,112096,81594.4,364041000,224192,163189,728082000,994.961,731297000,1
828.589,548020,1291650,111826,81915,365791000,223652,163830,731582000,1017.66,734752000,1
495.466,464850,20109.4,1804.69,1340.62,4794690,3609.38,2681.25,9589390,876.294,9639240,0
469.167,598137,21937.5,1968.75,1462.5,6730050,3937.5,2925,13460100,1126.21,13514500,0
825.606,534217,1296780,111966,81928.1,357828000,223931,163856,715656000,990.133,718837000,1
590.822,509506,18281.3,1640.62,1218.75,4777460,3281.25,2437.5,9554920,960.024,9600240,0
744.625,538811,1441180,123240,89827.5,401194000,246480,179655,802389000,1001.14,805915000,1
586.037,436013,18281.3,1640.62,1218.75,4088460,3281.25,2437.5,8176920,822.224,8222240,0
762.892,506590,1404970,120311,87742.5,367781000,240622,175485,735562000,941.402,739001000,1
580.936,789442,16453.1,1476.56,1096.88,6661670,2953.12,2193.75,13323300,1484.9,13364100,0
1578.98,673913,5484.38,492.187,365.625,1895630,984.375,731.25,3791270,1268.29,3804860,0
449.183,668752,23765.6,2132.81,1584.38,8151510,4265.62,3168.75,16303000,1258.61,16361900,0
623.997,567459,10968.8,984.375,731.25,3192460,1968.75,1462.5,6384930,1068.69,6412120,0
728.113,531169,1475800,124583,90326.3,405336000,249165,180652,810672000,989.392,814270000,1
751.696,523515,1428090,120141,86981.3,386638000,240281,173963,773275000,973.376,776754000,1
991.677,628726,10968.8,984.375,731.25,3537090,1968.75,1462.5,7074180,1183.56,7101370,0
580.093,594149,18281.3,1640.62,1218.75,5570990,3281.25,2437.5,11142000,1118.73,11187300,0
457.951,569380,23765.6,2132.81,1584.38,6940420,4265.62,3168.75,13880800,1072.29,13939700,0
1267.6,585971,7312.5,656.25,487.5,2197730,1312.5,975,4395460,1103.4,4413580,0
517.641,475198,18281.3,1640.62,1218.75,4455820,3281.25,2437.5,8911650,895.697,8956960,0
